"label","F4_130C_6.1.4_HFHS.Chow.DMBA","F4_131N_6.2.5_HFHS.Chow.DMBA","F5_131N_6.2.2_HFHS.Chow.DMBA","F6_130C_6.1.2_HFHS.Chow.DMBA","F6_131N_6.2.4_HFHS.Chow.DMBA","F4_129N_4.2.5_Lean.DMBA","F5_129N_4.1.3_Lean.DMBA","F5_129C_4.2.1_Lean.DMBA","F6_129N_4.1.5_Lean.DMBA","F6_129C_4.2.3_Lean.DMBA"
"B1B0C7","1.655469","2.605207","1.359439","2.199446","1.925800","1.651665","2.181332","1.329894","1.830915","1.967193"
"P48024","1.513660","1.464762","1.624987","2.061229","3.177511","3.249334","1.673488","1.425463","1.705977","1.566339"
"Q91XT3","2.347466","1.750669","2.015599","1.682355","1.753490","2.090349","2.069069","1.720351","1.640441","1.714023"
"O70423","0.6996800","0.8287724","1.6895022","1.6102766","2.846845","0.9367585","1.7098500","1.7506686","1.5420419","1.5198839"
"P09103","3.311120","3.317270","3.406343","3.229712","1.479418","3.229712","3.347017","3.273499","1.792423","3.197219"
"Q9D0T1","2.071485","1.893313","2.114383","1.734379","1.682355","1.980503","1.919954","1.996133","1.624987","1.741220"
"Q8CEW1","2.331570","2.475647","2.230855","2.195823","2.079234","2.040605","1.972586","1.984304","2.243122","1.897904"
"Q3U6S1","3.317270","3.311120","3.471554","3.372746","3.429124","3.197219","3.338179","3.459108","3.298835","3.401547"
"A0A1L1SQA8","2.678431","2.316558","2.167047","1.716424","2.074703","2.289628","2.427363","2.125344","2.131254","2.011910"
"Q9D1R9","1.904335","2.967958","1.691318","3.103754","1.613597","1.887162","1.776333","2.378703","2.112813","2.114383"
"B2M1R6","2.987444","2.914675","2.967958","2.898519","2.953500","2.901648","2.886219","2.959083","2.819721","2.901648"
"F8WID5","3.708283","3.708283","3.933540","3.617942","3.505129","3.401547","2.408640","3.708283","3.401547","3.429124"
"Q99KP6","1.732190","1.679669","2.307253","1.968506","1.959032","2.210214","2.938485","1.859577","3.203442","2.031515"
"Q8CD23","3.573517","3.471554","3.573517","3.291027","3.273499","3.291027","3.273499","3.229712","3.237304","3.237304"
"Q3UMI7","3.036671","2.959083","2.970410","3.036671","3.080506","3.141263","2.996127","3.118128","2.970410","3.065572"
"P16546","2.560211","2.614923","2.781132","2.754083","2.775868","2.537965","2.713246","2.737122","2.781132","2.781132"
"P05213","3.011436","1.954789","2.959083","3.118128","3.166633","3.134514","3.065572","3.166633","3.022504","3.222996"
"P14824","2.499650","2.551592","2.593045","2.698324","2.011910","2.543623","2.905756","2.287709","2.644344","2.718924"
"Q91VB8","3.617942","2.996127","3.141263","1.345381","2.424770","3.325743","3.372746","3.291027","3.708283","3.573517"
"Q3TMM5","0.4772419","1.7695268","1.3964318","1.9024644","0.8287724","2.297444","1.1408583","1.4882544","0.6996800","0.4772419"
"Q99J77","1.689502","1.794832","1.249666","1.855547","1.812730","1.842571","1.279203","2.451533","1.857047","1.853302"
"Q9CQR2","2.269031","2.364511","2.273765","2.131254","2.143921","2.162284","2.201052","2.187207","2.123061","2.127868"
"P09411","2.981724","2.287709","2.809260","2.947350","2.942525","1.585387","3.177511","3.093808","2.882924","2.921782"
"P38647","2.678431","2.602091","2.652955","2.794747","2.834606","2.837618","2.307253","2.713246","2.775868","2.898519"
"Q32P04","1.891017","3.617942","3.279407","2.962667","3.118128","2.167047","3.237304","3.444666","3.505129","3.249334"
"Q61838","2.849917","2.747131","2.886219","2.849917","2.125344","2.737122","3.317270","2.649759","2.649759","2.618304"
"Q8C845","1.5705689","1.6249867","1.3298941","1.9094573","1.9451417","1.3723124","2.487378","0.9637748","1.9288236","1.8827513"
"Q9D823","2.148452","2.173233","2.429744","1.925800","1.982410","1.596211","1.789069","2.061229","2.069069","1.887162"
"Z4YK11","2.569786","2.096420","2.665259","2.455745","1.934064","2.574448","2.870601","2.645467","2.341319","2.769555"
"Q3V3K3","1.893313","2.764238","2.269031","1.519884","1.416779","2.668542","1.861543","2.382994","2.050130","1.848386"
"Q61171","3.005960","2.857667","2.178243","2.938485","3.065572","1.635643","2.837618","2.834606","3.044145","2.967958"
"P00493","1.861543","1.941257","1.874752","1.379030","1.307524","1.789069","1.848386","1.632865","3.708283","1.359439"
"E9PZF0","3.291027","3.191976","2.419882","3.166633","3.177511","1.989539","3.118128","3.060164","3.065572","1.535136"
"Q8BMS1","2.102996","2.061229","2.241418","2.938485","2.293634","2.274630","2.723926","2.434679","2.305917","2.374236"
"Q64475","1.879245","3.406343","3.372746","3.311120","3.197219","3.298835","2.009318","3.325743","1.513660","3.311120"
"Q3TQP7","2.417045","2.609317","2.737122","2.618304","2.644344","2.549690","3.471554","2.761272","2.051692","2.701125"
"Q3U292","3.660248","3.573517","3.617942","3.382194","3.298835","3.372746","3.487622","3.487622","1.405712","3.406343"
"P51885","2.723926","2.740946","2.740946","2.791023","2.495282","2.417045","2.942525","2.455745","2.285272","2.311523"
"Q8CEH8","2.462027","2.179612","2.367102","2.942525","2.747131","2.455745","2.909582","2.723926","2.676566","2.886219"
"O88342","2.535856","2.546629","2.590939","2.585000","2.451533","2.414389","2.693335","2.518329","1.762219","3.263496"
"Q3UK83","1.934064","2.794747","2.660240","2.809260","2.877427","2.863497","2.701125","2.757966","2.187207","2.791023"
"P97807","3.027202","2.703968","2.737122","2.537965","2.511198","2.490258","2.274630","2.285272","2.590939","2.635802"
"Q9Z1R9","2.863497","2.938485","2.942525","2.812205","2.886219","3.086645","2.863497","3.071116","3.018138","3.049864"
"P60843","2.465995","2.339457","3.022504","2.417045","2.514973","2.612563","2.195823","2.535856","2.387798","2.609317"
"Q80XJ7","2.192974","1.914227","1.881132","2.487378","2.276385","2.326336","2.170206","2.227584","2.535856","2.440054"
"Q9QZ82","3.000877","2.898519","2.863497","2.977558","3.331334","3.099427","2.590939","2.947350","3.099427","3.298835"
"P00329","2.710518","2.901648","3.011436","2.645467","2.605207","2.307253","2.801961","2.693335","2.676566","2.645467"
"Q9DCW4","2.179612","2.473944","2.445636","2.665259","2.686737","2.567468","2.478756","2.504842","2.567468","2.560211"
"Q9Z2X1","2.521878","2.393382","3.401547","2.560211","2.518329","2.481739","2.509571","2.445636","2.493277","1.720351"
"Q9Z2U1","2.313196","2.061229","2.524240","2.029734","2.175914","1.972586","2.412847","2.278396","2.114383","2.117656"
"P47911","2.886219","3.406343","2.718924","2.747131","2.812205","2.801961","2.673192","2.791023","2.842922","2.311523"
"P10605","2.328910","2.300791","2.498236","2.157719","1.1770699","2.339457","2.540373","2.524240","1.950430","2.059256"
"Q3U0V1","2.266772","2.031515","2.417045","2.226220","2.543623","2.230855","2.537965","2.553678","2.135344","2.120201"
"Q149V4","2.992275","2.992275","2.278396","2.628748","2.769555","2.891046","3.000877","3.000877","2.959083","3.099427"
"Q810K5","2.498236","3.933540","2.514973","2.278396","2.356685","2.316558","1.735981","2.398413","2.274630","2.218754"
"Q99PT1","2.307253","1.438092","2.163535","1.956319","2.422195","2.396325","2.148452","2.364511","2.316558","2.484622"
"Q9R1P0","2.743786","2.475647","2.173233","2.504842","2.505755","2.628748","2.593045","2.532859","2.484622","2.445636"
"Q9QUM9","2.524240","2.440054","2.396325","2.214959","2.190622","2.321018","2.331570","2.270318","2.207788","2.132667"
"A0A1W2P729","2.150438","2.140560","2.185461","2.007202","1.705977","2.076098","2.190622","1.970161","2.014039","1.939188"
"Q3TXS9","2.567468","2.371338","2.442506","2.462027","2.560211","1.864947","2.257888","2.481739","2.462027","2.532859"
"Q8BVU9","2.210214","2.062402","2.214959","2.210214","2.314800","2.285272","2.449394","2.226220","2.127868","2.305917"
"P97351","3.660248","2.521878","2.412847","2.599876","2.751537","2.458305","2.295809","2.473944","1.529692","2.751537"
"Q3UHT6","1.628219","1.632865","2.199446","1.839904","1.778920","1.663163","2.129407","2.393382","1.803422","1.909457"
"P32067","1.822646","2.344349","2.378703","1.861543","2.414389","2.298721","2.380645","2.356685","2.367102","2.367102"
"Q5BLK1","1.909457","2.509571","2.246425","1.839904","2.484622","2.442506","2.192974","2.341319","2.511198","2.511198"
"Q542X7","2.358703","2.000271","1.994040","2.216368","2.254475","2.066957","1.720351","1.855547","2.227584","2.263575"
"P06728","1.822646","1.808821","1.967193","2.079234","1.479418","2.364511","2.499650","1.887162","1.579988","1.616279"
"Q99J29","1.830915","2.266772","2.595177","2.270318","1.806692","2.411518","1.956319","2.108663","2.178243","2.336785"
"A0A1C7CYU3","2.595177","1.989539","2.175914","1.732190","1.679669","1.934064","2.155628","2.036164","1.663163","1.600342"
"D3Z134","2.509571","2.530866","2.528352","2.362051","2.582671","2.465995","2.160929","2.502842","2.549690","2.490258"
"P62897","2.662967","2.376451","2.398413","2.000271","2.015599","2.400810","2.374236","2.150438","1.907676","1.934064"
"I7HLV2","1.780936","1.613597","1.776333","1.655469","2.082782","1.778920","1.606899","1.794832","1.606899","1.725208"
"Q3U9P7","1.977833","2.026515","1.416779","2.449394","2.204480","2.101402","1.659191","1.596211","2.333549","2.293634"
"Q4V9X9","2.751537","2.761272","2.644344","2.676566","2.737122","2.676566","2.595177","2.673192","2.703968","2.678431"
